,Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
0,Apple,13.3,8,Intel Iris Plus Graphics 640,macOS,Unkonwn,1.37,128,SSD,Intel,2.3,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
1,Apple,13.3,8,Intel HD Graphics 6000,macOS,Unkonwn,1.34,128,Flash Storage,Intel,1.8,4,Core i5,1440x900,Unknown,Intel
2,HP,15.6,8,Intel HD Graphics 620,No OS,No OS,1.86,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
3,Apple,15.4,16,AMD Radeon Pro 455,macOS,Unkonwn,1.83,512,SSD,Intel,2.7,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
4,Apple,13.3,8,Intel Iris Plus Graphics 650,macOS,Unkonwn,1.37,256,SSD,Intel,3.1,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
5,Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,500,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
6,Apple,15.4,16,Intel Iris Pro Graphics,Mac OS,X,2.04,256,Flash Storage,Intel,2.2,4,Core i7,2880x1800,IPS Panel Retina Display,Intel
7,Apple,13.3,8,Intel HD Graphics 6000,macOS,Unkonwn,1.34,256,Flash Storage,Intel,1.8,4,Core i5,1440x900,Unknown,Intel
8,Asus,14.0,16,Nvidia GeForce MX150,Windows,10,1.3,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
9,Acer,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
10,HP,15.6,4,Intel HD Graphics 620,No OS,No OS,1.86,500,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
11,HP,15.6,4,Intel HD Graphics 520,No OS,No OS,1.86,500,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
12,Apple,15.4,16,AMD Radeon Pro 555,macOS,Unkonwn,1.83,256,SSD,Intel,2.8,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
13,Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
14,Apple,12.0,8,Intel HD Graphics 615,macOS,Unkonwn,0.92,256,SSD,Intel,1.2,2,Core M m3,2304x1440,IPS Panel Retina Display,Intel
15,Apple,13.3,8,Intel Iris Plus Graphics 640,macOS,Unkonwn,1.37,256,SSD,Intel,2.3,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
16,Dell,15.6,8,AMD Radeon R5 M430,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
17,Apple,15.4,16,AMD Radeon Pro 560,macOS,Unkonwn,1.83,512,SSD,Intel,2.9,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
18,Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,Full HD,Nvidia
19,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.22,128,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
20,Asus,11.6,2,Intel HD Graphics 400,Windows,10,0.98,32,Flash Storage,Intel,1.44,4,Atom x5 Z8350,1366x768,Unknown,Intel
21,Lenovo,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
22,HP,15.6,4,AMD Radeon R2,No OS,No OS,1.86,500,HDD,AMD,1.5,2,E Series E2 9000e,1366x768,Unknown,AMD
23,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.62,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
24,HP,15.6,8,Intel HD Graphics 620,Windows,10,1.91,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
25,Dell,15.6,4,Intel HD Graphics 520,Windows,10,2.3,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
26,Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.35,128,Flash Storage,Intel,1.6,4,Core i5,1440x900,Unknown,Intel
27,Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
28,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.88,512,SSD,Intel,1.9,4,Core i7 8650U,1920x1080,Full HD,Intel
29,HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
30,Chuwi,15.6,4,Intel HD Graphics,Windows,10,1.89,64,Flash Storage,Intel,1.44,4,Atom x5 Z8300,1920x1080,Full HD,Intel
31,Asus,14.0,2,AMD Radeon R2,Windows,10,1.65,32,Flash Storage,AMD,1.5,4,E Series E2 6110,1366x768,Unknown,AMD
32,HP,17.3,4,AMD Radeon 530,Windows,10,2.71,500,HDD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
33,Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.2,512,SSD,Intel,1.8,4,Core i7 8550U,3200x1800,Touchscreen / Quad HD+,Intel
34,Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.35,256,Flash Storage,Intel,1.6,4,Core i5,1440x900,Unknown,Intel
35,Lenovo,14.0,4,Intel HD Graphics 500,Windows,10,1.44,64,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
36,Acer,15.6,4,Intel HD Graphics 620,Linux,Unkonwn,2.1,1024,HDD,Intel,2.7,2,Core i3 7130U,1366x768,Unknown,Intel
37,Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
38,HP,15.6,4,Intel HD Graphics 620,Windows,10,1.86,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
39,HP,15.6,8,Nvidia GeForce 930MX ,Windows,10,2.1,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
40,Asus,15.6,4,Intel HD Graphics 620,Linux,Unkonwn,2.0,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
41,Dell,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.65,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
42,Asus,15.6,8,Nvidia GeForce 940MX,Linux,Unkonwn,2.3,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Nvidia
43,Acer,15.6,4,Intel UHD Graphics 620,Windows,10,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
44,Dell,17.3,12,Nvidia GeForce 150MX,Windows,10,2.77,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Nvidia
45,Apple,13.3,8,Intel Iris Graphics 540,macOS,Unkonwn,1.37,256,SSD,Intel,2.0,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
46,Lenovo,15.6,4,Intel HD Graphics 520,No OS,No OS,2.2,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
47,Asus,17.3,8,AMD Radeon RX 580,Windows,10,3.2,1280,SSD + HDD,AMD,3.0,8,Ryzen 1700,1920x1080,Full HD,AMD
48,Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
49,Asus,17.3,4,Nvidia GeForce 920MX,Windows,10,2.8,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Nvidia
50,Lenovo,10.1,4,Intel HD Graphics 400,Android,Unkonwn,0.69,64,Flash Storage,Intel,1.44,4,Atom x5 Z8550,1920x1200,IPS Panel Touchscreen,Intel
51,Acer,15.6,8,Nvidia GeForce MX150,Windows,10,2.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
52,HP,15.6,4,AMD Radeon R4 Graphics,Windows,10,1.86,256,SSD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
53,HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
54,Acer,15.6,4,Intel HD Graphics 620,Windows,10,2.4,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
55,Dell,15.6,8,AMD Radeon 520,Windows,10,2.13,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
56,HP,15.6,4,Intel HD Graphics 520,Windows,10,1.91,128,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
57,Asus,15.6,4,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
58,MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.43,2304,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
