Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
Apple,13.3,8,Intel Iris Plus Graphics 640,Mac OS,X,1.37,128,SSD,Intel,2.3,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.34,128,Flash Storage,Intel,1.8,4,Core i5,1440x900,Unknown,Intel
HP,15.6,8,Intel HD Graphics 620,No OS,No OS,1.86,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Apple,15.4,16,AMD Radeon Pro 455,Mac OS,X,1.83,512,SSD,Intel,2.7,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
Apple,13.3,8,Intel Iris Plus Graphics 650,Mac OS,X,1.37,256,SSD,Intel,3.1,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,500,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
Apple,15.4,16,Intel Iris Pro Graphics,Mac OS,X,2.04,256,Flash Storage,Intel,2.2,4,Core i7,2880x1800,IPS Panel Retina Display,Intel
Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.34,256,Flash Storage,Intel,1.8,4,Core i5,1440x900,Unknown,Intel
Asus,14.0,16,Nvidia GeForce MX150,Windows,10,1.3,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Acer,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
HP,15.6,4,Intel HD Graphics 620,No OS,No OS,1.86,500,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
HP,15.6,4,Intel HD Graphics 520,No OS,No OS,1.86,500,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Apple,15.4,16,AMD Radeon Pro 555,Mac OS,X,1.83,256,SSD,Intel,2.8,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
Apple,12.0,8,Intel HD Graphics 615,Mac OS,X,0.92,256,SSD,Intel,1.2,2,Core M m3,2304x1440,IPS Panel Retina Display,Intel
Apple,13.3,8,Intel Iris Plus Graphics 640,Mac OS,X,1.37,256,SSD,Intel,2.3,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Dell,15.6,8,AMD Radeon R5 M430,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
Apple,15.4,16,AMD Radeon Pro 560,Mac OS,X,1.83,512,SSD,Intel,2.9,4,Core i7,2880x1800,IPS Panel Retina Display,AMD
Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,Full HD,Nvidia
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.22,128,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Asus,11.6,2,Intel HD Graphics 400,Windows,10,0.98,32,Flash Storage,Intel,1.44,4,Atom x5 Z8350,1366x768,Unknown,Intel
Lenovo,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,4,AMD Radeon R2,No OS,No OS,1.86,500,HDD,AMD,1.5,2,E Series E2 9000e,1366x768,Unknown,AMD
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.62,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.91,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Dell,15.6,4,Intel HD Graphics 520,Windows,10,2.3,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
